Attribute,Value
Number Critical Scenarios,14
Number Critical Scenarios (duplicate free),14
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.01
Ratio Critical/All scenarios (duplicate free),0.01
Ratio Best Critical/Best Scenarios,0.31
Ratio Best Critical/Best Scenarios (duplicate free),0.31
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.999933  0.812496  0.      ]
Input value of critical (first of population of interest),[ 7.680587 -6.772049  2.463005]
