Attribute,Value
Number Critical Scenarios,364
Number Critical Scenarios (duplicate free),73
Number All Scenarios,1000
Number All Scenarios (duplicate free),179
Number Best Critical Scenarios,260
Number Best Critical Scenarios (duplicate free),31
Number Best Scenarios,722
Number Best Scenarios (duplicate free),67
Ratio Critical/All scenarios,0.36
Ratio Critical/All scenarios (duplicate free),0.41
Ratio Best Critical/Best Scenarios,0.36
Ratio Best Critical/Best Scenarios (duplicate free),0.46
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.994298  0.754214  0.      ]
Input value of critical (first of population of interest),[1.801259 5.995789 2.368285]
