Index,X_0,X_1,X_2,Fitness_0,Fitness_1,Critical
0,0.662500,0.875000,0.625000,-0.968843,-2.923113,1
1,0.887500,0.937500,0.000000,-0.999323,-2.877077,1
2,0.550000,0.750000,0.416667,-0.999098,-2.593548,1
3,0.512500,0.812500,1.250000,-0.996075,-2.697617,1
4,0.662500,0.812500,0.208333,-0.995735,-2.837930,1
5,0.700000,0.812500,0.000000,-0.955565,-2.860672,1
6,0.700000,0.875000,0.416667,-0.965708,-2.860505,1
7,0.437500,0.625000,0.000000,-0.997765,-2.427769,1
8,0.625000,0.812500,0.416667,-0.982973,-2.798451,1
9,0.400000,0.625000,0.416667,-0.983912,-2.389575,1
10,0.400000,0.687500,1.250000,-0.986307,-2.349573,1
11,0.550000,0.750000,1.041667,-0.992913,-2.264963,1
12,0.512500,0.687500,0.000000,-0.982971,-2.637356,1
13,0.587500,0.812500,0.625000,-0.977140,-2.708786,1
14,0.625000,0.875000,0.833333,-0.957605,-2.715927,1
15,0.700000,0.937500,0.833333,-0.954449,-2.773628,1
16,0.962500,1.000000,0.000000,-0.942012,-2.781477,1
17,0.812500,1.812500,1.666667,-0.986890,-2.230176,1
18,0.437500,0.687500,1.250000,-0.981423,-2.308561,1
19,0.475000,0.750000,1.041667,-0.978452,-2.464139,1
20,0.512500,0.687500,0.208333,-0.967964,-2.596358,1
21,0.775000,0.937500,0.416667,-0.938423,-2.768184,1
22,0.812500,1.750000,1.666667,-0.984808,-2.230176,1
23,0.475000,0.687500,0.416667,-0.976172,-2.432910,1
24,0.512500,0.875000,1.666667,-0.955906,-2.594606,1
25,0.550000,0.875000,1.458333,-0.964228,-2.529333,1
26,0.512500,0.750000,0.625000,-0.932799,-2.596358,1
27,0.587500,0.937500,1.458333,-0.905265,-2.719646,1
28,0.400000,0.687500,1.458333,-0.983730,-2.203889,1
29,0.775000,1.937500,1.875000,-0.984000,-2.103349,1
30,0.437500,0.750000,1.458333,-0.975677,-2.404878,1
31,0.550000,0.812500,1.041667,-0.963837,-2.529333,1
32,0.587500,0.750000,0.000000,-0.900423,-2.708654,1
33,0.587500,0.875000,1.041667,-0.905228,-2.622499,1
34,1.000000,1.000000,0.000000,-0.981932,-2.137603,1
35,0.437500,0.687500,0.833333,-0.973835,-2.386000,1
36,0.550000,0.750000,0.833333,-0.974175,-2.349817,1
37,0.437500,0.625000,0.208333,-0.943021,-2.386158,1
38,0.475000,0.687500,0.625000,-0.926389,-2.393122,1
39,0.775000,1.875000,1.875000,-0.980388,-2.103349,1
40,0.550000,0.687500,0.416667,-0.973319,-2.350263,1
41,0.775000,1.625000,1.666667,-0.978499,-2.103349,1
42,0.400000,0.750000,1.875000,-0.964376,-2.288620,1
43,0.925000,0.937500,0.000000,-0.971554,-2.226917,1
44,0.775000,1.812500,1.875000,-0.976705,-2.103349,1
45,0.437500,0.750000,1.666667,-0.905005,-2.283038,1
46,0.812500,2.000000,1.875000,-0.951737,-2.230176,1
47,0.775000,1.562500,1.666667,-0.973973,-2.103349,1
48,0.700000,1.812500,2.291667,-0.975745,-2.005051,1
49,0.737500,1.812500,2.083333,-0.975722,-2.076902,1
50,0.437500,0.687500,1.041667,-0.903351,-2.267062,1
51,0.812500,1.375000,1.250000,-0.937337,-2.230176,1
52,0.775000,1.750000,1.875000,-0.972951,-2.103349,1
53,0.700000,1.875000,2.291667,-0.974808,-2.005051,1
54,0.737500,1.875000,2.083333,-0.973393,-2.076902,1
55,0.812500,1.250000,1.041667,-0.917210,-2.230176,1
56,0.775000,1.375000,1.458333,-0.956621,-2.103349,1
57,0.737500,1.750000,2.083333,-0.966881,-2.076902,1
58,0.775000,2.000000,2.083333,-0.954940,-2.103349,1
59,0.775000,1.250000,1.250000,-0.928164,-2.103349,1
60,0.775000,1.500000,1.666667,-0.901978,-2.103349,1
61,0.737500,2.000000,2.291667,-0.912086,-2.076902,1
