Attribute,Value
Number Critical Scenarios,64
Number Critical Scenarios (duplicate free),64
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.06
Ratio Critical/All scenarios (duplicate free),0.06
Ratio Best Critical/Best Scenarios,0.77
Ratio Best Critical/Best Scenarios (duplicate free),0.77
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999979  0.781166  0.      ]
Input value of critical (first of population of interest),[ 6.20205  -5.68007  14.727798]
