Attribute,Value
Number Critical Scenarios,61
Number Critical Scenarios (duplicate free),61
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,6
Number Best Critical Scenarios (duplicate free),6
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.06
Ratio Critical/All scenarios (duplicate free),0.06
Ratio Best Critical/Best Scenarios,0.46
Ratio Best Critical/Best Scenarios (duplicate free),0.46
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.763108  0.      ]
Input value of critical (first of population of interest),[-6.284589  3.559093  0.626084]
