RS_n_evals,RS_cid,RS_cid_sigma,NSGA-II-D_n_evals,NSGA-II-D_cid,NSGA-II-D_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma
100.0,0.3154167442990176,0.06521765383455828,100.0,0.4305157855258866,0.10352631847197337,100.0,0.518894152072804,0.12848560983342347
200.0,0.25077642523252147,0.022305959742527956,200.0,0.3630766800056694,0.05344759956232617,200.0,0.479871404484309,0.13529530069757606
300.0,0.22565967733418485,0.02437500588654259,300.0,0.34842151488254924,0.051028811996473744,300.0,0.4528395850904765,0.10841609995017219
400.0,0.2027856837558828,0.017852175703246594,400.0,0.33874830627799,0.05444659431306261,400.0,0.44435919751828507,0.10896328168512716
500.0,0.19223074369882398,0.017200827936079053,500.0,0.3256893860260859,0.06270407698266575,500.0,0.4405807289630185,0.10490373637872152
600.0,0.18195217439026323,0.015285573797081425,600.0,0.3150898363031601,0.06504641044162132,600.0,0.438969223773766,0.10564840245470648
700.0,0.17153795538496613,0.0170712396292872,700.0,0.30903424167817894,0.06326142474021726,700.0,0.4331671240517466,0.10426508959324181
800.0,0.16587933432111962,0.017290334371092928,800.0,0.3036868732968576,0.06107684094895254,800.0,0.42989793703786405,0.10462373637293988
900.0,0.16217225000777186,0.016076146968796758,900.0,0.2953109637950343,0.06475488840942194,900.0,0.4255226207049402,0.10304190756607157
1000.0,0.1588070757184824,0.015558226830155508,1000.0,0.29238516733467934,0.06656099749108114,1000.0,0.4248366422183623,0.10302327660015187
