Attribute,Value
Number Critical Scenarios,540
Number Critical Scenarios (duplicate free),103
Number All Scenarios,1000
Number All Scenarios (duplicate free),177
Number Best Critical Scenarios,277
Number Best Critical Scenarios (duplicate free),37
Number Best Scenarios,632
Number Best Scenarios (duplicate free),51
Ratio Critical/All scenarios,0.54
Ratio Critical/All scenarios (duplicate free),0.58
Ratio Best Critical/Best Scenarios,0.44
Ratio Best Critical/Best Scenarios (duplicate free),0.73
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.994176  0.700506  0.      ]
Input value of critical (first of population of interest),[-7.647173 -0.49369  17.606559]
