Attribute,Value
Number Critical Scenarios,18
Number Critical Scenarios (duplicate free),18
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,7
Number Best Critical Scenarios (duplicate free),7
Number Best Scenarios,9
Number Best Scenarios (duplicate free),9
Ratio Critical/All scenarios,0.02
Ratio Critical/All scenarios (duplicate free),0.02
Ratio Best Critical/Best Scenarios,0.78
Ratio Best Critical/Best Scenarios (duplicate free),0.78
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999982  0.81426025  0.        ]
Input value of critical (first of population of interest),[ 3.14372113 -7.61927031  3.77347891]
