Attribute,Value
Number Critical Scenarios,470
Number Critical Scenarios (duplicate free),66
Number All Scenarios,2000
Number All Scenarios (duplicate free),385
Number Best Critical Scenarios,58
Number Best Critical Scenarios (duplicate free),7
Number Best Scenarios,156
Number Best Scenarios (duplicate free),21
Ratio Critical/All scenarios,0.23
Ratio Critical/All scenarios (duplicate free),0.17
Ratio Best Critical/Best Scenarios,0.37
Ratio Best Critical/Best Scenarios (duplicate free),0.33
Iteration first critical found,6
Fitness value of critical (first of population of interest),[-0.952263 -2.44842 ]
Input value of critical (first of population of interest),[0.46822  0.710387 0.694073]
