Attribute,Value
Number Critical Scenarios,243
Number Critical Scenarios (duplicate free),63
Number All Scenarios,1000
Number All Scenarios (duplicate free),238
Number Best Critical Scenarios,174
Number Best Critical Scenarios (duplicate free),29
Number Best Scenarios,526
Number Best Scenarios (duplicate free),69
Ratio Critical/All scenarios,0.24
Ratio Critical/All scenarios (duplicate free),0.26
Ratio Best Critical/Best Scenarios,0.33
Ratio Best Critical/Best Scenarios (duplicate free),0.42
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.996291  0.853516 -5.882955]
Input value of critical (first of population of interest),[-4.811243  2.396293  4.799435]
