Attribute,Value
Number Critical Scenarios,354
Number Critical Scenarios (duplicate free),118
Number All Scenarios,1000
Number All Scenarios (duplicate free),346
Number Best Critical Scenarios,111
Number Best Critical Scenarios (duplicate free),23
Number Best Scenarios,259
Number Best Scenarios (duplicate free),60
Ratio Critical/All scenarios,0.35
Ratio Critical/All scenarios (duplicate free),0.34
Ratio Best Critical/Best Scenarios,0.43
Ratio Best Critical/Best Scenarios (duplicate free),0.38
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.962425  0.765581]
Input value of critical (first of population of interest),[-2.304433 -4.185046  2.536389]
