Attribute,Value
Number Critical Scenarios,790
Number Critical Scenarios (duplicate free),218
Number All Scenarios,1000
Number All Scenarios (duplicate free),318
Number Best Critical Scenarios,177
Number Best Critical Scenarios (duplicate free),30
Number Best Scenarios,196
Number Best Scenarios (duplicate free),31
Ratio Critical/All scenarios,0.79
Ratio Critical/All scenarios (duplicate free),0.69
Ratio Best Critical/Best Scenarios,0.90
Ratio Best Critical/Best Scenarios (duplicate free),0.97
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.988796  0.795225]
Input value of critical (first of population of interest),[ 6.368905 -2.083738 16.619134]
