run,RS,NSGA-II-D,NSGA-II
1,0.08508799620773301,0.40986969309266846,0.32083391961507723
2,0.0880288159790024,0.18966010513985426,0.37294966748361386
3,0.10020086344676718,0.16932558378607973,0.7500393907122986
4,0.10160414316040633,0.1636259234180518,0.34109254124241506
5,0.08715118635724414,0.3668786047094686,0.5803601827371873
6,0.09004688113975878,0.1958325760947332,0.2519410615727198
7,0.11494465559329112,0.34810903760932893,0.4917355021398964
8,0.09889173542444868,0.16975851386080912,0.5597069560426007
9,0.09417822030970278,0.16406230227348617,0.7322944068275582
10,0.09452841049075933,0.12835063976643482,0.19927667322141765
