Attribute,Value
Number Critical Scenarios,205
Number Critical Scenarios (duplicate free),56
Number All Scenarios,1000
Number All Scenarios (duplicate free),295
Number Best Critical Scenarios,53
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,325
Number Best Scenarios (duplicate free),61
Ratio Critical/All scenarios,0.20
Ratio Critical/All scenarios (duplicate free),0.19
Ratio Best Critical/Best Scenarios,0.16
Ratio Best Critical/Best Scenarios (duplicate free),0.15
Iteration first critical found,5
Fitness value of critical (first of population of interest),[-1.        0.822463]
Input value of critical (first of population of interest),[ 5.214056 -7.938676  3.828832]
