Attribute,Value
Number Critical Scenarios,19
Number Critical Scenarios (duplicate free),19
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,5
Number Best Critical Scenarios (duplicate free),5
Number Best Scenarios,19
Number Best Scenarios (duplicate free),19
Ratio Critical/All scenarios,0.02
Ratio Critical/All scenarios (duplicate free),0.02
Ratio Best Critical/Best Scenarios,0.26
Ratio Best Critical/Best Scenarios (duplicate free),0.26
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999762  0.80529042  0.        ]
Input value of critical (first of population of interest),[ 5.59612049 -6.93655072  3.73568723]
