Attribute,Value
Number Critical Scenarios,484
Number Critical Scenarios (duplicate free),144
Number All Scenarios,1000
Number All Scenarios (duplicate free),337
Number Best Critical Scenarios,158
Number Best Critical Scenarios (duplicate free),35
Number Best Scenarios,223
Number Best Scenarios (duplicate free),50
Ratio Critical/All scenarios,0.48
Ratio Critical/All scenarios (duplicate free),0.43
Ratio Best Critical/Best Scenarios,0.71
Ratio Best Critical/Best Scenarios (duplicate free),0.70
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.990256  0.764775]
Input value of critical (first of population of interest),[-5.531282 -1.052872  0.565424]
