n_evals,cid
40,1
80,0.6587617283663583
120,0.6568836588768726
160,0.2038120753264959
200,0.20232663757037225
240,0.19858829425916025
280,0.18526615609157784
320,0.1844015163254741
360,0.18366420480426246
400,0.1836118500149663
440,0.18330356512362808
480,0.18305327725983558
520,0.18272471923129063
560,0.18272471057232662
600,0.18173138582195802
640,0.174374123224951
680,0.17434807860488363
720,0.17434807860488363
760,0.1734454445303057
800,0.17326735253216846
840,0.1725113634403639
880,0.17250793806430825
920,0.17250793806430825
960,0.1716030720097633
1000,0.1716030720097633
1040,0.1716014538830758
1080,0.17004909124361658
1120,0.17004909124361658
1160,0.1700266275878615
1200,0.1700266275878615
1240,0.1700266275878615
1280,0.1700266275878615
1320,0.16414252364381676
1360,0.16414252364381676
1400,0.16381284130195245
1440,0.16381284130195245
1480,0.16381284130195245
1520,0.16381284130195245
1560,0.16381284130195245
1600,0.16381284130195245
1640,0.1638060157372274
1680,0.1638060157372274
1720,0.1638060157372274
1760,0.1638060157372274
1800,0.1638060157372274
1840,0.1638060157372274
1880,0.15426670315400176
1920,0.15425798368423999
1960,0.15419274400808777
2000,0.15417305158776642
