Attribute,Value
Number Critical Scenarios,292
Number Critical Scenarios (duplicate free),73
Number All Scenarios,1000
Number All Scenarios (duplicate free),246
Number Best Critical Scenarios,125
Number Best Critical Scenarios (duplicate free),24
Number Best Scenarios,522
Number Best Scenarios (duplicate free),59
Ratio Critical/All scenarios,0.29
Ratio Critical/All scenarios (duplicate free),0.30
Ratio Best Critical/Best Scenarios,0.24
Ratio Best Critical/Best Scenarios (duplicate free),0.41
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.999998  0.798427 -1.778546]
Input value of critical (first of population of interest),[-5.555558  4.111406  2.807717]
