n_evals,cid
20,1
40,1
60,1
80,1
100,0.6845456001587408
120,0.6671292844287711
140,0.5083248273603743
160,0.48987192956502057
180,0.48345203911936985
200,0.479959911494957
220,0.479959911494957
240,0.4653945798305656
260,0.4653945798305656
280,0.46533162130897227
300,0.46420330324263614
320,0.4627375437668658
340,0.4557213226219272
360,0.45572127247517247
380,0.45572127247517247
400,0.45572127247517247
420,0.4539917523926867
440,0.45396747358934497
460,0.45396747358934497
480,0.45396747358934497
500,0.45396747358934497
520,0.45396747358934497
540,0.44944798547177833
560,0.44944798547177833
580,0.43666361426963785
600,0.4366421849725197
620,0.4366421849725197
640,0.4366421849725197
660,0.4366421849725197
680,0.4366421849725197
700,0.4366421849725197
720,0.4355104944669605
740,0.4355104944669605
760,0.4355104944669605
780,0.43536141374508414
800,0.43536141374508414
820,0.4351617839784888
840,0.43496721286556683
860,0.43496721286556683
880,0.43496721286556683
900,0.43496721286556683
920,0.4349608206967157
940,0.4346074288788807
960,0.4346074288788807
980,0.4346074288788807
1000,0.4346074288788807
