Attribute,Value
Number Critical Scenarios,556
Number Critical Scenarios (duplicate free),87
Number All Scenarios,1000
Number All Scenarios (duplicate free),208
Number Best Critical Scenarios,440
Number Best Critical Scenarios (duplicate free),41
Number Best Scenarios,562
Number Best Scenarios (duplicate free),49
Ratio Critical/All scenarios,0.56
Ratio Critical/All scenarios (duplicate free),0.42
Ratio Best Critical/Best Scenarios,0.78
Ratio Best Critical/Best Scenarios (duplicate free),0.84
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.999996  0.821862 -3.615825]
Input value of critical (first of population of interest),[-7.891255  1.75406   3.267614]
