Attribute,Value
Number Critical Scenarios,353
Number Critical Scenarios (duplicate free),109
Number All Scenarios,1000
Number All Scenarios (duplicate free),265
Number Best Critical Scenarios,100
Number Best Critical Scenarios (duplicate free),31
Number Best Scenarios,273
Number Best Scenarios (duplicate free),57
Ratio Critical/All scenarios,0.35
Ratio Critical/All scenarios (duplicate free),0.41
Ratio Best Critical/Best Scenarios,0.37
Ratio Best Critical/Best Scenarios (duplicate free),0.54
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.936391  0.720419 -2.712381]
Input value of critical (first of population of interest),[ 4.197419 -3.969067  6.950333]
