Attribute,Value
Number Critical Scenarios,898
Number Critical Scenarios (duplicate free),298
Number All Scenarios,1000
Number All Scenarios (duplicate free),363
Number Best Critical Scenarios,328
Number Best Critical Scenarios (duplicate free),64
Number Best Scenarios,328
Number Best Scenarios (duplicate free),64
Ratio Critical/All scenarios,0.90
Ratio Critical/All scenarios (duplicate free),0.82
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.792457  0.825339]
Input value of critical (first of population of interest),[-2.374354 -3.042175  2.003056]
