Attribute,Value
Number Critical Scenarios,792
Number Critical Scenarios (duplicate free),242
Number All Scenarios,1000
Number All Scenarios (duplicate free),332
Number Best Critical Scenarios,146
Number Best Critical Scenarios (duplicate free),37
Number Best Scenarios,146
Number Best Scenarios (duplicate free),37
Ratio Critical/All scenarios,0.79
Ratio Critical/All scenarios (duplicate free),0.73
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999974  0.754171]
Input value of critical (first of population of interest),[-4.427161 -3.810205 11.269026]
