Attribute,Value
Number Critical Scenarios,70
Number Critical Scenarios (duplicate free),70
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.04
Ratio Critical/All scenarios (duplicate free),0.04
Ratio Best Critical/Best Scenarios,0.69
Ratio Best Critical/Best Scenarios (duplicate free),0.69
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.995803 -1.210131]
Input value of critical (first of population of interest),[0.359242 1.103256 4.029344]
