Attribute,Value
Number Critical Scenarios,51
Number Critical Scenarios (duplicate free),51
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,8
Number Best Critical Scenarios (duplicate free),8
Number Best Scenarios,11
Number Best Scenarios (duplicate free),11
Ratio Critical/All scenarios,0.05
Ratio Critical/All scenarios (duplicate free),0.05
Ratio Best Critical/Best Scenarios,0.73
Ratio Best Critical/Best Scenarios (duplicate free),0.73
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99906832  0.83425007  0.        ]
Input value of critical (first of population of interest),[-6.86911052  6.34391398  3.4695094 ]
