Attribute,Value
Number Critical Scenarios,967
Number Critical Scenarios (duplicate free),237
Number All Scenarios,1000
Number All Scenarios (duplicate free),265
Number Best Critical Scenarios,114
Number Best Critical Scenarios (duplicate free),26
Number Best Scenarios,114
Number Best Scenarios (duplicate free),26
Ratio Critical/All scenarios,0.97
Ratio Critical/All scenarios (duplicate free),0.89
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999826  0.815557]
Input value of critical (first of population of interest),[-2.338618 -5.199262  2.008045]
