Attribute,Value
Number Critical Scenarios,235
Number Critical Scenarios (duplicate free),63
Number All Scenarios,1000
Number All Scenarios (duplicate free),247
Number Best Critical Scenarios,97
Number Best Critical Scenarios (duplicate free),23
Number Best Scenarios,350
Number Best Scenarios (duplicate free),44
Ratio Critical/All scenarios,0.23
Ratio Critical/All scenarios (duplicate free),0.26
Ratio Best Critical/Best Scenarios,0.28
Ratio Best Critical/Best Scenarios (duplicate free),0.52
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.911279  0.820444  0.      ]
Input value of critical (first of population of interest),[-4.645182  7.337649  3.884281]
