Attribute,Value
Number Critical Scenarios,201
Number Critical Scenarios (duplicate free),71
Number All Scenarios,1000
Number All Scenarios (duplicate free),177
Number Best Critical Scenarios,89
Number Best Critical Scenarios (duplicate free),22
Number Best Scenarios,669
Number Best Scenarios (duplicate free),55
Ratio Critical/All scenarios,0.20
Ratio Critical/All scenarios (duplicate free),0.40
Ratio Best Critical/Best Scenarios,0.13
Ratio Best Critical/Best Scenarios (duplicate free),0.40
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999963  0.777325  0.      ]
Input value of critical (first of population of interest),[-7.686004  7.815699 13.503257]
