Attribute,Value
Number Critical Scenarios,248
Number Critical Scenarios (duplicate free),68
Number All Scenarios,1000
Number All Scenarios (duplicate free),209
Number Best Critical Scenarios,135
Number Best Critical Scenarios (duplicate free),22
Number Best Scenarios,536
Number Best Scenarios (duplicate free),58
Ratio Critical/All scenarios,0.25
Ratio Critical/All scenarios (duplicate free),0.33
Ratio Best Critical/Best Scenarios,0.25
Ratio Best Critical/Best Scenarios (duplicate free),0.38
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999995  0.785173 -6.399648]
Input value of critical (first of population of interest),[-7.730072 -2.201273  0.799296]
