Attribute,Value
Number Critical Scenarios,235
Number Critical Scenarios (duplicate free),235
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,12
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,12
Number Best Scenarios (duplicate free),12
Ratio Critical/All scenarios,0.23
Ratio Critical/All scenarios (duplicate free),0.23
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999986  0.780034  0.      ]
Input value of critical (first of population of interest),[-5.77323   0.25616   2.987016]
