Attribute,Value
Number Critical Scenarios,436
Number Critical Scenarios (duplicate free),110
Number All Scenarios,1000
Number All Scenarios (duplicate free),224
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.44
Ratio Critical/All scenarios (duplicate free),0.49
Ratio Best Critical/Best Scenarios,0.45
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.87747258  0.66484112  0.        ]
Input value of critical (first of population of interest),[1.47522859 4.10080002 1.66491948]
