n_evals,cid
20,0.5792898639938512
40,0.3681739013732957
60,0.3644102476622705
80,0.35304731804473105
100,0.34952229443000477
120,0.34394846093640347
140,0.3419806599197977
160,0.34117383909261734
180,0.3409306177796481
200,0.3405322673223262
220,0.3400798207540252
240,0.3395506330041615
260,0.3293353604246681
280,0.32900942466655586
300,0.3290091785076475
320,0.3289090908333701
340,0.3285087363048661
360,0.3284189562919781
380,0.32840273261001357
400,0.3283773788830092
420,0.3283773788830092
440,0.3283773788830092
460,0.3280551309963454
480,0.32762075434023885
500,0.32762075434023885
520,0.32762075434023885
540,0.32762075434023885
560,0.3182930409236091
580,0.3182697126230958
600,0.31786834454853913
620,0.31786834454853913
640,0.3177729910108238
660,0.3177620553038067
680,0.3177620553038067
700,0.3134522243500453
720,0.30818162712705766
740,0.3080661796509796
760,0.3079171827216417
780,0.30681698467249996
800,0.30678208620813013
820,0.30637090631457353
840,0.30637090631457353
860,0.3063707242530495
880,0.30481397671151855
900,0.30481397671151855
920,0.30460575939932366
940,0.3044442031661774
960,0.3044442031661774
980,0.3044442031661774
1000,0.3044442031661774
