RS_n_evals,RS_cid,RS_cid_sigma,MOPSO_n_evals,MOPSO_cid,MOPSO_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma,NSGAII-DJ_A0.29_SEQ_n_evals,NSGAII-DJ_A0.29_SEQ_cid,NSGAII-DJ_A0.29_SEQ_cid_sigma
200.0,0.6192767343402442,0.2966083393132794,200.0,0.7786756950917855,0.29411024995098106,200.0,0.6455280518940919,0.2738670223173029,200.0,0.5613309141377869,0.2508851940603004
400.0,0.4249327989300446,0.19032803429650194,400.0,0.5188477082933455,0.2963684588261899,400.0,0.5148652207341117,0.2028363760236914,400.0,0.48964085037661365,0.22746099796634314
600.0,0.30677813212086585,0.12362266312768752,600.0,0.45103391418992195,0.27418379255703296,600.0,0.4022187563445637,0.1445021364430966,600.0,0.4342431653116311,0.1619826395220403
800.0,0.26150879955603906,0.09282887852167354,800.0,0.3918666285289493,0.26652585235014103,800.0,0.3742670050606337,0.13864319981241296,800.0,0.3521650121246598,0.12820438595029598
1000.0,0.2517428046238357,0.0920331989794302,1000.0,0.3667958058717112,0.2216358329578428,1000.0,0.36787214844075944,0.14326833803777675,1000.0,0.3303185035553376,0.12574500752282985
1200.0,0.23412774226461136,0.08018676795536873,1200.0,0.3402973630364937,0.2117028006446886,1200.0,0.36419950130786594,0.14439544666022455,1200.0,0.3232456039260678,0.11939496515802837
1400.0,0.21493320613083874,0.06302690485404072,1400.0,0.3381749030974911,0.2126726157063705,1400.0,0.3513021681488025,0.15246302685344518,1400.0,0.2978984196255696,0.11890129549446639
1600.0,0.19383564859079655,0.05659196639321107,1600.0,0.33325319124445124,0.21371579639335336,1600.0,0.3407814778079937,0.15387511235120374,1600.0,0.28331490378978585,0.12581414467292157
1800.0,0.18670960390424834,0.05543531299979033,1800.0,0.3268945378694295,0.21655504376146242,1800.0,0.3402065235928352,0.1542097027961846,1800.0,0.2764548432117866,0.131055863979031
2000.0,0.17126976930609508,0.03534956623842526,2000.0,0.3263725663633236,0.21681160833495766,2000.0,0.3384690063994133,0.1553950714114649,2000.0,0.2724784836318316,0.13261750277810333
