Attribute,Value
Number Critical Scenarios,895
Number Critical Scenarios (duplicate free),256
Number All Scenarios,1000
Number All Scenarios (duplicate free),337
Number Best Critical Scenarios,337
Number Best Critical Scenarios (duplicate free),56
Number Best Scenarios,337
Number Best Scenarios (duplicate free),56
Ratio Critical/All scenarios,0.90
Ratio Critical/All scenarios (duplicate free),0.76
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.999986  0.833221]
Input value of critical (first of population of interest),[-5.520658  1.719398  2.525203]
