Attribute,Value
Number Critical Scenarios,952
Number Critical Scenarios (duplicate free),265
Number All Scenarios,1000
Number All Scenarios (duplicate free),305
Number Best Critical Scenarios,205
Number Best Critical Scenarios (duplicate free),37
Number Best Scenarios,205
Number Best Scenarios (duplicate free),37
Ratio Critical/All scenarios,0.95
Ratio Critical/All scenarios (duplicate free),0.87
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999999  0.828752]
Input value of critical (first of population of interest),[-6.165976 -1.608318  2.988262]
