Attribute,Value
Number Critical Scenarios,510
Number Critical Scenarios (duplicate free),130
Number All Scenarios,1000
Number All Scenarios (duplicate free),202
Number Best Critical Scenarios,197
Number Best Critical Scenarios (duplicate free),37
Number Best Scenarios,447
Number Best Scenarios (duplicate free),44
Ratio Critical/All scenarios,0.51
Ratio Critical/All scenarios (duplicate free),0.64
Ratio Best Critical/Best Scenarios,0.44
Ratio Best Critical/Best Scenarios (duplicate free),0.84
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.841339  0.787161  0.      ]
Input value of critical (first of population of interest),[-0.749537  6.200297 17.872785]
