Attribute,Value
Number Critical Scenarios,137
Number Critical Scenarios (duplicate free),137
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,11
Number Best Critical Scenarios (duplicate free),11
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.14
Ratio Critical/All scenarios (duplicate free),0.14
Ratio Best Critical/Best Scenarios,0.85
Ratio Best Critical/Best Scenarios (duplicate free),0.85
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99997872  0.78116616  0.        ]
Input value of critical (first of population of interest),[ 6.20205003 -5.68007045 14.72779753]
