Attribute,Value
Number Critical Scenarios,416
Number Critical Scenarios (duplicate free),86
Number All Scenarios,1000
Number All Scenarios (duplicate free),226
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.42
Ratio Critical/All scenarios (duplicate free),0.38
Ratio Best Critical/Best Scenarios,0.45
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.99999404  0.82359441 -5.01384389]
Input value of critical (first of population of interest),[ 7.06486668 -3.04065644  9.44777876]
