Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive
0,0.521024,1.627583,3.130690,-0.978555,-1.622628,-0.000000
1,0.354559,1.197514,4.505863,-0.999555,-1.195071,-0.000000
2,0.322581,0.864655,3.993883,-0.996537,-1.108396,-0.000000
3,0.521024,1.627583,3.130690,-0.978555,-1.622628,-0.000000
4,0.354559,1.197514,4.505863,-0.999555,-1.195071,-0.000000
5,0.344906,1.197514,4.193705,-0.951953,-1.824322,-11.515431
6,0.332209,0.962250,4.361109,-0.980019,-1.133746,-11.515431
7,0.322581,0.864655,3.993883,-0.996537,-1.108396,-0.000000
8,0.322581,0.908955,3.993883,-0.979961,-1.108396,-11.515431
9,0.521024,1.627583,3.130690,-0.978555,-1.622628,-0.000000
10,0.354559,1.197514,4.505863,-0.999555,-1.195071,-0.000000
11,0.332237,1.197514,4.505863,-0.982690,-1.621253,-12.433805
12,0.354554,1.151893,3.854917,-0.971294,-1.899988,-12.433805
13,0.326751,0.962250,4.361109,-0.997436,-1.121272,-12.433805
14,0.332214,0.967119,4.361109,-0.981023,-1.133746,-12.433805
15,0.344906,1.197514,4.193705,-0.951953,-1.824322,-11.515431
16,0.322581,0.864655,3.993883,-0.996537,-1.108396,-0.000000
17,0.316809,0.904023,3.993883,-0.983021,-1.090519,-12.433805
18,0.332209,0.962250,4.361109,-0.980019,-1.133746,-11.515431
19,0.354559,1.197514,4.505863,-0.999555,-1.195071,-0.000000
20,0.332237,1.197514,4.505863,-0.982690,-1.621253,-12.433805
21,0.354554,1.151893,3.854917,-0.971294,-1.899988,-12.433805
22,0.326751,0.962250,4.361109,-0.997436,-1.121272,-12.433805
23,0.648477,0.883656,0.656542,-0.845260,-2.822933,-12.028578
24,0.356889,1.045358,4.005900,-0.990851,-1.202822,-12.028578
25,0.592760,0.790043,0.467906,-0.986710,-2.720528,-12.028578
26,0.326201,0.973344,4.361109,-0.998508,-1.120283,-12.028578
27,0.332214,0.967119,4.361109,-0.981023,-1.133746,-12.433805
28,0.316809,0.904023,3.993883,-0.983021,-1.090519,-12.433805
29,0.521024,1.627583,3.130690,-0.978555,-1.622628,-0.000000
30,0.344906,1.197514,4.193705,-0.951953,-1.824322,-11.515431
31,0.332237,1.197514,4.359816,-0.782064,-1.628176,-12.028578
32,0.332214,0.967119,4.507156,-0.897838,-1.134390,-12.028578
33,0.322581,0.864655,3.993883,-0.996537,-1.108396,-0.000000
34,0.321944,0.905752,3.993883,-0.998217,-1.106963,-12.028578
35,0.332209,0.962250,4.361109,-0.980019,-1.133746,-11.515431
36,0.354559,1.197514,4.505863,-0.999555,-1.195071,-0.000000
37,0.326751,0.962250,4.361109,-0.997436,-1.121272,-12.433805
38,0.648477,0.883656,0.656542,-0.845260,-2.822933,-12.028578
39,0.356889,1.045358,4.005900,-0.990851,-1.202822,-12.028578
40,0.592760,0.790043,0.467906,-0.986710,-2.720528,-12.028578
41,0.326201,0.973344,4.361109,-0.998508,-1.120283,-12.028578
42,0.648477,0.885856,0.656542,-0.814715,-2.822933,-12.718929
43,0.597175,0.790043,0.467906,-0.983385,-2.725069,-12.718929
44,0.322581,0.864655,3.957797,-0.997990,-1.108396,-12.718929
45,0.354554,1.198985,4.370186,-0.995460,-1.195071,-12.718929
46,0.321944,0.905752,3.993883,-0.998217,-1.106963,-12.028578
47,0.332237,1.197514,4.505863,-0.982690,-1.621253,-12.433805
48,0.521024,1.627583,3.130690,-0.978555,-1.622628,-0.000000
49,0.571410,0.785111,0.511800,-0.973039,-2.669262,-12.718929
50,0.332237,1.195314,4.505863,-0.982546,-1.621253,-12.718929
51,0.322581,0.864655,3.993883,-0.996537,-1.108396,-0.000000
52,0.316809,0.904023,3.993883,-0.983021,-1.090519,-12.433805
53,0.354554,1.151893,3.854917,-0.971294,-1.899988,-12.433805
54,0.332214,0.967119,4.361109,-0.981023,-1.133746,-12.433805
55,0.354559,1.197396,4.663465,-0.933101,-1.195071,-12.718929
56,0.316809,0.904023,4.051276,-0.981721,-1.090519,-12.718929
57,0.332237,1.197514,4.714939,-0.980418,-1.133521,-12.718929
58,0.332209,0.962250,4.361109,-0.980019,-1.133746,-11.515431
59,0.354559,1.197514,4.505863,-0.999555,-1.195071,-0.000000
60,0.326751,0.962250,4.361109,-0.997436,-1.121272,-12.433805
61,0.356889,1.045358,4.005900,-0.990851,-1.202822,-12.028578
62,0.592760,0.790043,0.467906,-0.986710,-2.720528,-12.028578
63,0.326201,0.973344,4.361109,-0.998508,-1.120283,-12.028578
64,0.648477,0.885856,0.656542,-0.814715,-2.822933,-12.718929
