Attribute,Value
Number Critical Scenarios,178
Number Critical Scenarios (duplicate free),63
Number All Scenarios,1000
Number All Scenarios (duplicate free),269
Number Best Critical Scenarios,78
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,410
Number Best Scenarios (duplicate free),61
Ratio Critical/All scenarios,0.18
Ratio Critical/All scenarios (duplicate free),0.23
Ratio Best Critical/Best Scenarios,0.19
Ratio Best Critical/Best Scenarios (duplicate free),0.33
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.732755  0.819462 -0.630401]
Input value of critical (first of population of interest),[-0.105097  6.42033  12.293343]
