Attribute,Value
Number Critical Scenarios,79
Number Critical Scenarios (duplicate free),79
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,9
Number Best Scenarios (duplicate free),9
Ratio Critical/All scenarios,0.04
Ratio Critical/All scenarios (duplicate free),0.04
Ratio Best Critical/Best Scenarios,0.44
Ratio Best Critical/Best Scenarios (duplicate free),0.44
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.995126 -1.212571]
Input value of critical (first of population of interest),[0.359941 1.338688 4.540749]
