Attribute,Value
Number Critical Scenarios,682
Number Critical Scenarios (duplicate free),193
Number All Scenarios,1000
Number All Scenarios (duplicate free),303
Number Best Critical Scenarios,14
Number Best Critical Scenarios (duplicate free),14
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.68
Ratio Critical/All scenarios (duplicate free),0.64
Ratio Best Critical/Best Scenarios,0.70
Ratio Best Critical/Best Scenarios (duplicate free),0.70
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.56282157  0.66263912]
Input value of critical (first of population of interest),[0.35501915 6.27297078 2.69336034]
