Attribute,Value
Number Critical Scenarios,986
Number Critical Scenarios (duplicate free),276
Number All Scenarios,1000
Number All Scenarios (duplicate free),290
Number Best Critical Scenarios,20
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.99
Ratio Critical/All scenarios (duplicate free),0.95
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999982  0.82530604]
Input value of critical (first of population of interest),[-1.95680192  7.82136695 11.98146262]
