Attribute,Value
Number Critical Scenarios,526
Number Critical Scenarios (duplicate free),108
Number All Scenarios,1000
Number All Scenarios (duplicate free),212
Number Best Critical Scenarios,360
Number Best Critical Scenarios (duplicate free),46
Number Best Scenarios,604
Number Best Scenarios (duplicate free),64
Ratio Critical/All scenarios,0.53
Ratio Critical/All scenarios (duplicate free),0.51
Ratio Best Critical/Best Scenarios,0.60
Ratio Best Critical/Best Scenarios (duplicate free),0.72
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.901723  0.761203  0.      ]
Input value of critical (first of population of interest),[5.02512  4.227505 5.306825]
