Attribute,Value
Number Critical Scenarios,939
Number Critical Scenarios (duplicate free),312
Number All Scenarios,1000
Number All Scenarios (duplicate free),359
Number Best Critical Scenarios,20
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.94
Ratio Critical/All scenarios (duplicate free),0.87
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.88923842  0.81120082]
Input value of critical (first of population of interest),[ 3.76386391 -2.90619107  2.29876604]
