Attribute,Value
Number Critical Scenarios,604
Number Critical Scenarios (duplicate free),135
Number All Scenarios,1000
Number All Scenarios (duplicate free),187
Number Best Critical Scenarios,13
Number Best Critical Scenarios (duplicate free),13
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.60
Ratio Critical/All scenarios (duplicate free),0.72
Ratio Best Critical/Best Scenarios,0.65
Ratio Best Critical/Best Scenarios (duplicate free),0.65
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.87010765  0.79939279  0.        ]
Input value of critical (first of population of interest),[ 2.58567733 -3.03453582  2.32424698]
