Attribute,Value
Number Critical Scenarios,398
Number Critical Scenarios (duplicate free),128
Number All Scenarios,1000
Number All Scenarios (duplicate free),311
Number Best Critical Scenarios,111
Number Best Critical Scenarios (duplicate free),27
Number Best Scenarios,325
Number Best Scenarios (duplicate free),54
Ratio Critical/All scenarios,0.40
Ratio Critical/All scenarios (duplicate free),0.41
Ratio Best Critical/Best Scenarios,0.34
Ratio Best Critical/Best Scenarios (duplicate free),0.50
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.99499   0.711868]
Input value of critical (first of population of interest),[ 1.907331 -6.580534 17.851888]
