Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive
0,0.342483,0.679199,2.416628,-0.982767,-1.161066,-11.254015
1,0.342483,0.679199,2.416628,-0.982767,-1.161066,-11.254015
2,0.379116,0.700461,2.183687,-0.981764,-1.260906,-9.270482
3,0.345449,0.699415,2.416628,-0.997443,-1.166084,-9.270482
4,0.342483,0.679199,2.411341,-0.982767,-1.161066,-9.270482
5,0.342483,0.679199,2.416628,-0.982767,-1.161066,-11.254015
6,0.379116,0.700461,2.183687,-0.981764,-1.260906,-9.270482
7,0.345449,0.699415,2.416628,-0.997443,-1.166084,-9.270482
8,0.441701,0.732291,1.483930,-0.872204,-2.219201,-8.993186
9,0.311018,0.699415,1.549635,-0.884089,-1.414898,-8.993186
10,0.342483,0.679199,2.411341,-0.982767,-1.161066,-9.270482
11,0.361459,0.679199,2.411341,-0.932682,-1.217064,-8.993186
12,0.342483,0.679199,2.416628,-0.982767,-1.161066,-11.254015
13,0.379116,0.700461,2.183687,-0.981764,-1.260906,-9.270482
14,0.345449,0.699415,2.416628,-0.997443,-1.166084,-9.270482
15,0.441701,0.732291,1.483930,-0.872204,-2.219201,-8.993186
16,0.311018,0.699415,1.549635,-0.884089,-1.414898,-8.993186
17,0.776534,1.986082,1.977408,-0.974046,-2.106109,-8.249213
18,0.458016,0.777093,1.483930,-0.960701,-2.411718,-8.249213
19,0.342483,0.679826,2.416628,-0.982942,-1.161066,-8.249213
20,0.431795,0.732291,1.483930,-0.958939,-2.309718,-8.249213
21,0.387271,0.700437,1.379107,-0.788887,-2.349698,-8.249213
22,0.361459,0.679199,2.411341,-0.932682,-1.217064,-8.993186
23,0.342483,0.679199,2.416628,-0.982767,-1.161066,-11.254015
24,0.379116,0.700461,2.183687,-0.981764,-1.260906,-9.270482
25,0.776534,1.986082,1.977408,-0.974046,-2.106109,-8.249213
26,0.458016,0.777093,1.483930,-0.960701,-2.411718,-8.249213
27,0.467614,0.732291,1.405336,-0.979365,-1.489860,-9.516981
28,0.431795,0.735276,1.465827,-0.959721,-2.309718,-9.516981
29,0.357619,0.702038,2.411643,-0.998659,-1.205521,-9.516981
30,0.345449,0.699415,2.416628,-0.997443,-1.166084,-9.270482
31,0.387271,0.700437,1.379107,-0.788887,-2.349698,-8.249213
32,0.344476,0.679826,2.416628,-0.996950,-1.163653,-9.516981
33,0.367509,0.679199,2.267811,-0.950966,-1.235681,-9.516981
