Attribute,Value
Number Critical Scenarios,1178
Number Critical Scenarios (duplicate free),99
Number All Scenarios,2000
Number All Scenarios (duplicate free),226
Number Best Critical Scenarios,978
Number Best Critical Scenarios (duplicate free),41
Number Best Scenarios,1297
Number Best Scenarios (duplicate free),51
Ratio Critical/All scenarios,0.59
Ratio Critical/All scenarios (duplicate free),0.44
Ratio Best Critical/Best Scenarios,0.75
Ratio Best Critical/Best Scenarios (duplicate free),0.80
Iteration first critical found,2
Fitness value of critical (first of population of interest),[ -0.982767  -1.161066 -11.254015]
Input value of critical (first of population of interest),[0.342483 0.679199 2.416628]
