Attribute,Value
Number Critical Scenarios,854
Number Critical Scenarios (duplicate free),137
Number All Scenarios,1000
Number All Scenarios (duplicate free),165
Number Best Critical Scenarios,593
Number Best Critical Scenarios (duplicate free),46
Number Best Scenarios,709
Number Best Scenarios (duplicate free),49
Ratio Critical/All scenarios,0.85
Ratio Critical/All scenarios (duplicate free),0.83
Ratio Best Critical/Best Scenarios,0.84
Ratio Best Critical/Best Scenarios (duplicate free),0.94
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.997641  0.807357  0.      ]
Input value of critical (first of population of interest),[-1.119637 -3.772084  1.965176]
