Attribute,Value
Number Critical Scenarios,345
Number Critical Scenarios (duplicate free),345
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,15
Number Best Critical Scenarios (duplicate free),15
Number Best Scenarios,19
Number Best Scenarios (duplicate free),19
Ratio Critical/All scenarios,0.34
Ratio Critical/All scenarios (duplicate free),0.34
Ratio Best Critical/Best Scenarios,0.79
Ratio Best Critical/Best Scenarios (duplicate free),0.79
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999952  0.81184211  0.        ]
Input value of critical (first of population of interest),[ 0.17147557 -6.59818879  2.42154034]
