Attribute,Value
Number Critical Scenarios,308
Number Critical Scenarios (duplicate free),96
Number All Scenarios,1000
Number All Scenarios (duplicate free),246
Number Best Critical Scenarios,7
Number Best Critical Scenarios (duplicate free),7
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.31
Ratio Critical/All scenarios (duplicate free),0.39
Ratio Best Critical/Best Scenarios,0.35
Ratio Best Critical/Best Scenarios (duplicate free),0.35
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.74135232  0.85836088  0.        ]
Input value of critical (first of population of interest),[-3.00641875 -7.69087137  1.89407812]
