Attribute,Value
Number Critical Scenarios,635
Number Critical Scenarios (duplicate free),247
Number All Scenarios,1000
Number All Scenarios (duplicate free),377
Number Best Critical Scenarios,62
Number Best Critical Scenarios (duplicate free),14
Number Best Scenarios,187
Number Best Scenarios (duplicate free),38
Ratio Critical/All scenarios,0.64
Ratio Critical/All scenarios (duplicate free),0.66
Ratio Best Critical/Best Scenarios,0.33
Ratio Best Critical/Best Scenarios (duplicate free),0.37
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.807556]
Input value of critical (first of population of interest),[-5.807791  2.465406  2.628459]
