Attribute,Value
Number Critical Scenarios,703
Number Critical Scenarios (duplicate free),171
Number All Scenarios,1000
Number All Scenarios (duplicate free),299
Number Best Critical Scenarios,252
Number Best Critical Scenarios (duplicate free),48
Number Best Scenarios,314
Number Best Scenarios (duplicate free),60
Ratio Critical/All scenarios,0.70
Ratio Critical/All scenarios (duplicate free),0.57
Ratio Best Critical/Best Scenarios,0.80
Ratio Best Critical/Best Scenarios (duplicate free),0.80
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.995875  0.684456]
Input value of critical (first of population of interest),[3.068177 7.955722 3.932749]
