Attribute,Value
Number Critical Scenarios,481
Number Critical Scenarios (duplicate free),127
Number All Scenarios,1000
Number All Scenarios (duplicate free),211
Number Best Critical Scenarios,206
Number Best Critical Scenarios (duplicate free),36
Number Best Scenarios,488
Number Best Scenarios (duplicate free),44
Ratio Critical/All scenarios,0.48
Ratio Critical/All scenarios (duplicate free),0.60
Ratio Best Critical/Best Scenarios,0.42
Ratio Best Critical/Best Scenarios (duplicate free),0.82
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.994505  0.819269  0.      ]
Input value of critical (first of population of interest),[ 3.254234 -3.937587  3.966914]
