Attribute,Value
Number Critical Scenarios,759
Number Critical Scenarios (duplicate free),192
Number All Scenarios,1000
Number All Scenarios (duplicate free),297
Number Best Critical Scenarios,300
Number Best Critical Scenarios (duplicate free),55
Number Best Scenarios,357
Number Best Scenarios (duplicate free),62
Ratio Critical/All scenarios,0.76
Ratio Critical/All scenarios (duplicate free),0.65
Ratio Best Critical/Best Scenarios,0.84
Ratio Best Critical/Best Scenarios (duplicate free),0.89
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999997  0.840819]
Input value of critical (first of population of interest),[-0.385957 -7.187381  1.866479]
