Attribute,Value
Number Critical Scenarios,586
Number Critical Scenarios (duplicate free),113
Number All Scenarios,1000
Number All Scenarios (duplicate free),170
Number Best Critical Scenarios,329
Number Best Critical Scenarios (duplicate free),28
Number Best Scenarios,653
Number Best Scenarios (duplicate free),37
Ratio Critical/All scenarios,0.59
Ratio Critical/All scenarios (duplicate free),0.66
Ratio Best Critical/Best Scenarios,0.50
Ratio Best Critical/Best Scenarios (duplicate free),0.76
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.990358  0.836402 -7.5078  ]
Input value of critical (first of population of interest),[ 7.342307  0.297954 11.039251]
