Attribute,Value
Number Critical Scenarios,490
Number Critical Scenarios (duplicate free),155
Number All Scenarios,1000
Number All Scenarios (duplicate free),324
Number Best Critical Scenarios,13
Number Best Critical Scenarios (duplicate free),13
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.49
Ratio Critical/All scenarios (duplicate free),0.48
Ratio Best Critical/Best Scenarios,0.65
Ratio Best Critical/Best Scenarios (duplicate free),0.65
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.9999252   0.77794118]
Input value of critical (first of population of interest),[ 2.54968208 -6.18349736  1.55736454]
