Attribute,Value
Number Critical Scenarios,867
Number Critical Scenarios (duplicate free),212
Number All Scenarios,1000
Number All Scenarios (duplicate free),282
Number Best Critical Scenarios,325
Number Best Critical Scenarios (duplicate free),49
Number Best Scenarios,361
Number Best Scenarios (duplicate free),54
Ratio Critical/All scenarios,0.87
Ratio Critical/All scenarios (duplicate free),0.75
Ratio Best Critical/Best Scenarios,0.90
Ratio Best Critical/Best Scenarios (duplicate free),0.91
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.971082  0.80453 ]
Input value of critical (first of population of interest),[-7.265296  7.224998  1.198086]
