Attribute,Value
Number Critical Scenarios,947
Number Critical Scenarios (duplicate free),260
Number All Scenarios,1000
Number All Scenarios (duplicate free),303
Number Best Critical Scenarios,190
Number Best Critical Scenarios (duplicate free),30
Number Best Scenarios,190
Number Best Scenarios (duplicate free),30
Ratio Critical/All scenarios,0.95
Ratio Critical/All scenarios (duplicate free),0.86
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.930425  0.79772 ]
Input value of critical (first of population of interest),[-6.095847 -5.418702  2.33293 ]
