Attribute,Value
Number Critical Scenarios,612
Number Critical Scenarios (duplicate free),134
Number All Scenarios,1000
Number All Scenarios (duplicate free),185
Number Best Critical Scenarios,277
Number Best Critical Scenarios (duplicate free),39
Number Best Scenarios,578
Number Best Scenarios (duplicate free),46
Ratio Critical/All scenarios,0.61
Ratio Critical/All scenarios (duplicate free),0.72
Ratio Best Critical/Best Scenarios,0.48
Ratio Best Critical/Best Scenarios (duplicate free),0.85
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.833766  0.      ]
Input value of critical (first of population of interest),[ 0.792562 -7.803754  3.963977]
