Attribute,Value
Number Critical Scenarios,348
Number Critical Scenarios (duplicate free),91
Number All Scenarios,1000
Number All Scenarios (duplicate free),347
Number Best Critical Scenarios,121
Number Best Critical Scenarios (duplicate free),24
Number Best Scenarios,241
Number Best Scenarios (duplicate free),48
Ratio Critical/All scenarios,0.35
Ratio Critical/All scenarios (duplicate free),0.26
Ratio Best Critical/Best Scenarios,0.50
Ratio Best Critical/Best Scenarios (duplicate free),0.50
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.97904   0.857493]
Input value of critical (first of population of interest),[ 7.58539  -1.664486  6.536495]
