Attribute,Value
Number Critical Scenarios,190
Number Critical Scenarios (duplicate free),49
Number All Scenarios,1000
Number All Scenarios (duplicate free),270
Number Best Critical Scenarios,102
Number Best Critical Scenarios (duplicate free),15
Number Best Scenarios,523
Number Best Scenarios (duplicate free),70
Ratio Critical/All scenarios,0.19
Ratio Critical/All scenarios (duplicate free),0.18
Ratio Best Critical/Best Scenarios,0.20
Ratio Best Critical/Best Scenarios (duplicate free),0.21
Iteration first critical found,5
Fitness value of critical (first of population of interest),[-0.997741  0.828844 -0.901364]
Input value of critical (first of population of interest),[ 3.5156   -5.530948  3.551906]
