Attribute,Value
Number Critical Scenarios,295
Number Critical Scenarios (duplicate free),69
Number All Scenarios,1000
Number All Scenarios (duplicate free),231
Number Best Critical Scenarios,56
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,398
Number Best Scenarios (duplicate free),48
Ratio Critical/All scenarios,0.29
Ratio Critical/All scenarios (duplicate free),0.30
Ratio Best Critical/Best Scenarios,0.14
Ratio Best Critical/Best Scenarios (duplicate free),0.38
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999973  0.821176 -4.321132]
Input value of critical (first of population of interest),[ 2.996065 -5.450387  2.357861]
